區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-0.526586,0.25,40,-7.581394192451715,0.0,0.3733625738111183
2023-01-01~2023-07-01,smc,1.05,0.003,-0.526586,0.25,40,-7.581394192451715,0.0,0.3733625738111183
2023-01-01~2023-07-01,smc,1.05,0.004,-0.526586,0.25,40,-7.581394192451715,0.0,0.3733625738111183
2023-01-01~2023-07-01,smc,1.05,0.005,-0.526586,0.25,40,-7.581394192451715,0.0,0.3733625738111183
2023-01-01~2023-07-01,smc,1.1,0.002,-1.399795,0.1351,37,-14.003231183500999,0.0,0.10021190801355427
2023-01-01~2023-07-01,smc,1.1,0.003,-1.399795,0.1351,37,-14.003231183500999,0.0,0.10021190801355427
2023-01-01~2023-07-01,smc,1.1,0.004,-1.399795,0.1351,37,-14.003231183500999,0.0,0.10021190801355427
2023-01-01~2023-07-01,smc,1.1,0.005,-1.399795,0.1351,37,-14.003231183500999,0.0,0.10021190801355427
2023-01-01~2023-07-01,smc,1.15,0.002,-1.876684,0.1143,35,-13.327854249168327,0.0,0.0866358933536256
2023-01-01~2023-07-01,smc,1.15,0.003,-1.876684,0.1143,35,-13.327854249168327,0.0,0.0866358933536256
2023-01-01~2023-07-01,smc,1.15,0.004,-1.876684,0.1143,35,-13.327854249168327,0.0,0.0866358933536256
2023-01-01~2023-07-01,smc,1.15,0.005,-1.876684,0.1143,35,-13.327854249168327,0.0,0.0866358933536256
2023-01-01~2023-07-01,smc,1.2,0.002,-2.426684,0.1143,35,-12.840272976407116,0.0,0.0858894660959467
2023-01-01~2023-07-01,smc,1.2,0.003,-2.426684,0.1143,35,-12.840272976407116,0.0,0.0858894660959467
2023-01-01~2023-07-01,smc,1.2,0.004,-2.426684,0.1143,35,-12.840272976407116,0.0,0.0858894660959467
2023-01-01~2023-07-01,smc,1.2,0.005,-2.426684,0.1143,35,-12.840272976407116,0.0,0.0858894660959467
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-7.095373,0.1324,340,-13.52821210432542,409.193985944894,0.16140723353162906
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-7.120983,0.1302,338,-13.617385116209944,410.66185250625426,0.1598651870187613
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-7.613661,0.1275,353,-14.138709965109122,0.0,0.14757407298937247
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-8.615217,0.1224,384,-14.741090052450524,0.0,0.13718241562226624
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-7.944683,0.0984,183,-14.815564678559321,0.0,0.1064891591723531
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-7.214407,0.1086,175,-14.056652752335266,374.4882879069144,0.11619768411501454
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-7.097943,0.1086,175,-13.84485491280145,993.4690780377039,0.11787952260347874
2023-01-01~2023-07-01,smc_loose,1.1,0.005,-8.300997,0.1042,192,-14.791835278903717,1161.6859534476741,0.10280610762873647
2023-01-01~2023-07-01,smc_loose,1.15,0.002,-12.982969,0.089,191,-15.761346389094193,0.0,0.07819137356424483
2023-01-01~2023-07-01,smc_loose,1.15,0.003,-12.292939,0.089,191,-15.050167468257843,0.0,0.08248033096988626
2023-01-01~2023-07-01,smc_loose,1.15,0.004,-11.812552,0.0909,187,-14.755548174718085,0.0,0.08554764988399828
2023-01-01~2023-07-01,smc_loose,1.15,0.005,-13.482347,0.0891,202,-15.609374753593764,0.0,0.07592418230525495
2023-01-01~2023-07-01,smc_loose,1.2,0.002,-14.320493,0.0798,163,-15.508239620151775,0.0,0.06785293207707684
2023-01-01~2023-07-01,smc_loose,1.2,0.003,-13.700236,0.0875,160,-15.119619387625653,0.0,0.07081229516787933
2023-01-01~2023-07-01,smc_loose,1.2,0.004,-13.883482,0.0807,161,-15.210467543384052,0.0,0.06982981654693247
2023-01-01~2023-07-01,smc_loose,1.2,0.005,-15.898039,0.0805,174,-16.131605429619885,0.0,0.06167336875583008
